report_file,manuscript_location,manuscript_claim,citation_key,attributed_source,source_file_used,source_text_or_best_match,assessment,notes
05_appendix_methods_audit.md,`paper/appendix.tex:46`,"Health transitions are calibrated to the RAND HRS longitudinal file, five self-reported health categories are mapped into three states, and age-65/age-100 transition matrices are linearly interpolated following De Nardi et al. (2010).",`denardi2010`,"De Nardi, French, and Jones (2010), ""Why Do the Elderly Save? The Role of Medical Expenses""",[`potential references/DeNardi_French_Jones2010.txt`](/Users/derektharp/Documents/_Projects/26.29%20Annuity%20Puzzle%20Simulation/potential%20references/DeNardi_French_Jones2010.txt),"""The transition probabilities for health status depend on previous health, sex, permanent income, and age"" and ""At the beginning of the period the individual's health status and medical expenses are realized. Then the individual consumes and saves. Finally, the survival shock hits.""",partially supported,"The paper supports HRS-based, age- and health-dependent transition probabilities and the timing of health/mortality risk. It does not state the appendix's specific 5-to-3 mapping, the 65/100 anchor matrices, or the linear interpolation rule."
05_appendix_methods_audit.md,`paper/appendix.tex:78`,"Baseline survival probabilities use the SSA administrative period life table employed by Lockwood, and cumulative death probabilities at ages 65, 70, 75, ... are taken directly from Lockwood's replication code and interpolated linearly at intermediate ages.",`lockwood2012`,"Lockwood (2012), ""Bequest Motives and the Annuity Puzzle""",[`potential references/Lockwood2012.txt`](/Users/derektharp/Documents/_Projects/26.29%20Annuity%20Puzzle%20Simulation/potential%20references/Lockwood2012.txt),"""Mortality probabilities come from the 2003 U.S. Social Security Administration male life table, adjusted so that the maximum possible age is 110 years"" and ""Risk {(p_t, S_t)} from 2003 U.S. Social Security Administration male life table, adjusted so S_111 = 0.""",partially supported,The source supports the SSA life-table basis and the backward-induction setup. The specific reference to `BAP_sim2.m` and the claim that the cumulative death probabilities are pulled from the replication code are not stated in the paper.
05_appendix_methods_audit.md,`paper/appendix.tex:105`,"O'Dea and Sturrock estimate that subjective 10-year survival at age 65 is about 71% versus 86% actuarial, implying `psi = 0.981`.",`odeasturrock2023`,"O'Dea and Sturrock (2023), ""Survival Pessimism and the Demand for Annuities""",[`potential references/ODea_Sturrock2023.txt`](/Users/derektharp/Documents/_Projects/26.29%20Annuity%20Puzzle%20Simulation/potential%20references/ODea_Sturrock2023.txt),"""Individuals in their early 60s underestimate survival to age 75 by around 25 to 30 percentage points"" and ""those in their late 60s and early 70s underestimate survival to age 85 by 15 to 20 percentage points""; the paper also reports hazard rates at 71% and 69% of the original level for men and women.",partially supported,"The paper clearly supports the broad survival-pessimism channel and the rough 15-20 pp magnitude, but not the appendix's exact 71% vs 86% calibration or the derived per-year factor `psi = 0.981`."
05_appendix_methods_audit.md,`paper/appendix.tex:183`,"The reference bequest parameters `theta = 56.96` and `kappa = $272,628` come from Lockwood (2012), estimated from HRS data under the DFJ specification at `sigma = 2`.",`lockwood2012`,"Lockwood (2012), ""Bequest Motives and the Annuity Puzzle""",[`potential references/Lockwood2012.txt`](/Users/derektharp/Documents/_Projects/26.29%20Annuity%20Puzzle%20Simulation/potential%20references/Lockwood2012.txt),"Lockwood states that his bequest motive is ""a particular parameterization of a functional form that is widely-used in the saving literature"" and that he uses bequest motives estimated from the saving literature and Hurd & Smith anticipated bequests; Table 1 gives `sigma = 2` and the SSA life-table setup.",partially supported,"The source supports the bequest-function family and the HRS-based calibration context, but the exact converted values `theta = 56.96` and `kappa = $272,628` are not visible in the local text extraction. The appendix should avoid implying those exact numbers are directly reported in the paper unless the original table is separately cited or shown."
05_appendix_methods_audit.md,`paper/appendix.tex:187`,"The DFJ bequest estimates are jointly calibrated, so using one parameter with the other's value replaced is not a valid counterfactual.",`lockwood2012`,"Lockwood (2012), ""Bequest Motives and the Annuity Puzzle""",[`potential references/Lockwood2012.txt`](/Users/derektharp/Documents/_Projects/26.29%20Annuity%20Puzzle%20Simulation/potential%20references/Lockwood2012.txt),"""This bequest motive is a particular parameterization of a functional form that is widely-used in the saving literature"" and ""the larger is `y_h`, the higher is the threshold, and so the greater the extent to which bequests are luxury goods.""",partially supported,"The source supports the idea that the bequest motive is a linked two-parameter object, but it does not itself make the stronger claim that arbitrary one-parameter substitution is invalid. That is the appendix author's inference, so it should be phrased as such."
05_appendix_methods_audit.md,`paper/appendix.tex:192`,"Lockwood estimated `theta = 56.96` and `kappa = $272,628` at `sigma = 2`, and the appendix rescales `theta` to other `gamma` values using `theta_new = theta_ref^(gamma_new/gamma_ref)`.",`lockwood2012`,"Lockwood (2012), ""Bequest Motives and the Annuity Puzzle""",[`potential references/Lockwood2012.txt`](/Users/derektharp/Documents/_Projects/26.29%20Annuity%20Puzzle%20Simulation/potential%20references/Lockwood2012.txt),Lockwood's text supports a bequest motive calibrated from HRS/anticipated-bequest data and a CRRA benchmark of `sigma = 2`; the appendix's rescaling formula is not stated in the source.,partially supported,"The source supports the underlying calibration context, but not the specific parameter-portability rule. This is the kind of calibration-attribution claim that should be marked as the author's own derivation, not as something Lockwood reported."
05_appendix_methods_audit.md,`paper/appendix.tex:209`,"Pashchenko conducted a sequential decomposition with four channels, and the full model predicted about 20% participation, roughly four times the observed 5% rate.",`pashchenko2013`,"Pashchenko (2013), ""Accounting for Non-annuitization""",[`potential references/Pashchenko2013.txt`](/Users/derektharp/Documents/_Projects/26.29%20Annuity%20Puzzle%20Simulation/potential%20references/Pashchenko2013.txt),"""This paper shows that quantitatively four explanations play a big role in reducing annuity demand..."" and ""once all potential explanations for the annuity puzzle are included, the participation rate drops from 97% to around 20% ... still remains higher than in the data (5%).""",supported,This is a faithful summary of the paper's abstract and main quantitative conclusion.
05_appendix_methods_audit.md,`paper/appendix.tex:224`,"Wettstein et al. estimate MWRs of 0.50 for DIA-80 and 0.45 for DIA-85, compared to 0.82 for SPIAs.",`wettstein2021`,"Wettstein, Munnell, Hou, and Gok (2021), ""The Value of Annuities""",[`potential references/Munnell_Wettstein2021.txt`](/Users/derektharp/Documents/_Projects/26.29%20Annuity%20Puzzle%20Simulation/potential%20references/Munnell_Wettstein2021.txt),"""The money's worth of deferred annuities is the most constant over time of the three annuities studied"" and ""the money's worth of deferred annuities ... is substantially lower than for both types of immediate annuities."" The paper also reports immediate-annuity money's worth around 0.80 and deferred-annuity wealth equivalence of 0.77/0.73.",partially supported,"The source supports the qualitative ranking and the age-85 deferred product, but the exact `0.50`, `0.45`, and `0.82` money's-worth numbers are not verified in the local text. If those exact figures are important, they should be rechecked against the original table/figure or restated more cautiously."
06_appendix_crosscheck_audit.md,`paper/appendix.tex:343`,The poor-health multiplier upper bound corresponds to the functional-limitation health states used by Reichling-Smetters; the good-health multiplier is fixed at 0.50.,`reichlingsmetters2015`,"Reichling and Smetters (2015), *Optimal Annuitization with Stochastic Mortality and Correlated Medical Costs*.",`potential references/Reichling_Smetters2015.txt` (health-state setup; ADL/IADL mapping in lines 903-936),"`“three states (M = 3) suffice: healthy, impaired, and very sick.”`",partially supported,"The cited paper does support the 3-state health structure and the ADL/IADL interpretation, but the manuscript’s exact draw `U(2.0, 3.5)` and fixed `0.50` are model choices layered on top of the source."
06_appendix_crosscheck_audit.md,`paper/appendix.tex:347`,Baseline MWR uncertainty is centered near 0.82 and bounded to reflect current annuity-pricing uncertainty.,`mitchell1999`,"Mitchell, Poterba, Warshawsky, and Brown (1999), *New Evidence on the Money’s Worth of Individual Annuities*.",`potential references/Mitchell_etal1999.txt` (money’s-worth discussion in lines 88-94),`“averages between 80 and 85 cents”`,supported,"The source explicitly reports 80-85 cents for population mortality and 90-94 cents for annuitant mortality, which is the right benchmark for the manuscript’s baseline calibration."
06_appendix_crosscheck_audit.md,`paper/appendix.tex:347`,"More recent annuity-pricing evidence suggests the population-table MWR is around 0.85, with a small uncertainty band around the baseline.",`wettstein2021`,"Munnell, Wettstein, Hou, and Gok (2021), *How Best to Annuitize?*.","`potential references/Munnell_Wettstein2021.txt` (money’s-worth discussion in lines 435-445, 520-523)",`“fluctuated around 0.80”`,partially supported,"The paper supports the broader range `0.76-0.87` for immediate annuities over 2001-2019 and about `0.85` in wealth-equivalence terms, but it does not state the manuscript’s `2024` market-condition claim."
06_appendix_crosscheck_audit.md,`paper/appendix.tex:354` and `paper/main.tex:323`,"The implied risk-aversion range is 1-3, so `gamma = 2.5` and the implied median `gamma = 2.73` are within the cited Chetty range.",`chetty2006`,"Chetty (2006), *A New Method of Estimating Risk Aversion*.",`none`,"No clean local source file was found in `potential references/`; only `Chetty2015.*` exists, and it is a different paper.",cannot verify locally,"`paper/bibliography.bib` has a `chetty2006` entry, but the corresponding paper is not present in the local reference library."
06_appendix_crosscheck_audit.md,`paper/main.tex:325`,"The DFJ bequest parameters are taken directly from Lockwood (2012), who estimated them from HRS bequest data at `gamma = 2`.",`lockwood2012`,"Lockwood (2012), *Bequest Motives and the Annuity Puzzle*.","`potential references/Lockwood2012.txt` (bequest-calibration discussion in lines 797-801, 920-937)",`“I estimate a bequest motive based on Hurd and Smith’s estimates of average anticipated bequests.”`,partially supported,"The source clearly supports an HRS-based bequest calibration, but the OCR text does not surface the manuscript’s exact `theta = 56.96` and `kappa = 272,628` values."
06_appendix_crosscheck_audit.md,`paper/main.tex:327`,"Health transition matrices are calibrated to HRS panel data, with five self-reported health categories mapped to three states.",`denardi2010`,"De Nardi, French, and Jones (2010), *Why Do the Elderly Save? The Role of Medical Expenses*.",`potential references/DeNardi_French_Jones2010.txt` (health-status uncertainty in lines 302-303; HRS-based evidence later in the paper),"`“The transition probabilities for health status depend on previous health, sex, permanent income, and age.”`",supported,"This is a fair representation of the source’s health-transition calibration, and the manuscript’s 5-to-3 mapping is a reasonable implementation of that broader structure."
06_appendix_crosscheck_audit.md,`paper/main.tex:345`,"The medical expenditure process matches the Jones et al. (2018) age profile, including the age-70 and age-100 spending moments.",`jones2018`,"Jones, De Nardi, French, McGee, and Kirschner (2018), *The Lifetime Medical Spending of Retirees*.","`potential references/Jones_etal2018.txt` (lines 677-678, 2036-2041)","`“mean medical spending rises from $5,100 per year at age 70 to $29,700 at age 100.”`",supported,The cited source explicitly states the spending profile used in the manuscript and also reports the 95th-percentile figures.
06_appendix_crosscheck_audit.md,`paper/main.tex:347`,"The HRS sample restrictions are comparable to Lockwood (2012), and the manuscript’s single-retiree benchmark is aligned with his design.",`lockwood2012`,"Lockwood (2012), *Bequest Motives and the Annuity Puzzle*.","`potential references/Lockwood2012.txt` (single-retiree simulations and HRS-based sample discussion in lines 668-673, 804, 920-937)",`“single retirees in the U.S.”`,supported,"The source uses single-retiree HRS simulations, so the manuscript’s comparator is fair, even though the exact sample size and wealth filter are implementation details of the current paper."
06_appendix_crosscheck_audit.md,`paper/main.tex:403`,"Peijnenburg, Nijman, and Werker conclude that full annuitization remains approximately optimal in their framework.",`peijnenburg2016`,"Peijnenburg, Nijman, and Werker (2016), *The Annuity Puzzle Remains a Puzzle*.","`potential references/Peijnenburg_Nijman_Werker2016.txt` (abstract and introduction, lines 25-27, 47-55, 91-101)",`“full annuitization remains optimal if saving is possible after retirement.”`,supported,"The cited paper explicitly says this in the abstract and introduction, so the manuscript’s summary is accurate."
06_appendix_crosscheck_audit.md,`paper/main.tex:412`,Lockwood (2012) reports observed voluntary annuity ownership of 3.6 percent among single retirees.,`lockwood2012`,"Lockwood (2012), *Bequest Motives and the Annuity Puzzle*.","`potential references/Lockwood2012.txt` (results in lines 920-921, 935-937)",`“3.6 percent”`,supported,This is directly stated in the source and is the right benchmark for the manuscript’s calibration comparison.
